hypothesis,point,ci_lo,ci_hi,accepted
H1_dSp,0.366197183098592,0.256756756756757,0.478567054500919,1
H1_AUC,-0.00201207243460766,-0.00742974002728428,0.00340559515806896,0
H1,0,NaN,NaN,0
H2_BS,-0.0291188026157026,-0.049648041650251,-0.00775637044310396,1
H2_slope,1.09727822443046,0.789253464898868,2.75253629299812,1
H2,1,NaN,NaN,1
H3_frac,1,NaN,NaN,1
H3,1,NaN,NaN,1
